Años,Admin_Publica,Empresas,Enseñanza_Superior,IPSFL,Total
2000.0,904776.1,3068994.4,1693881.6,51336.2,5718988.3
2001.0,989011.1,3261030.6,1925357.0,51758.4,6227157.1
2002.0,1107815.0,3926338.0,2141949.0,17435.0,7193538.0
2003.0,1261762.8,4443438.0,2491958.8,15876.0,8213035.6
2004.0,1427503.6,4864930.2,2641653.2,11673.7,8945760.7
2005.0,1738052.9,5485033.5,2959927.7,13856.9,10196871.0
2006.0,1970823.5,6557529.0,3265738.5,21127.0,11815217.9
2007.0,2348843.4,7453901.8,3518594.7,21030.8,13342370.6
2008.0,2672288.1,8073521.2,3932413.1,23170.5,14701392.9
2009.0,2926733.2,7567595.9,4058359.1,28987.5,14581675.7
2010.0,2930562.4,7506442.6,4123150.4,28299.9,14588455.3
2011.0,2762384.8,7396369.0,4002023.6,23517.1,14184294.6
2012.0,2556646.4,7094280.5,3715573.4,25106.5,13391606.8
2013.0,2436443.9,6906395.9,3647407.2,21551.1,13011798.0
2014.0,2408694.7,6784311.1,3606170.6,21580.0,12820756.4
2015.0,2520417.0,6920014.4,3703883.9,27491.9,13171807.2
2016.0,2452775.2,7125972.8,3648812.1,32208.6,13259768.7
2017.0,2495023.4,7729249.4,3808958.3,30213.1,14063444.1
2018.0,2515228.4,8445361.7,3946201.4,38900.8,14945692.4
2019.0,2648295.6,8740596.3,4141140.6,42019.3,15572051.8
2020.0,2752925.4,8767459.9,4202013.5,45734.4,15768133.2
2021.0,2910025.2,9696149.2,4586993.4,56080.8,17249248.6
2022.0,3329693.8,10901727.7,5026022.3,67310.9,19324754.8
2023.0,3992242.9,12615738.7,5708661.4,62511.1,22379154.0
2024.0,4564778.7,13342419.0,5961559.3,62124.0,23930880.9
